Depth,Middle Probability,Border Probability,Corner Combinations,Edge Combinations,Interior Combinations
85,-105.22435732391642,,,,236.63473279076356
86,-106.46163179335457,,,,239.28211576087818
87,-107.69889270457475,,,,241.92556843736438
88,-108.93614011094019,,,,244.56505492663297
89,-110.17337406550905,,,,247.20053867344788
90,-111.41059462103556,,,,249.83198244246105
91,-112.64780182997333,,,,252.4593482990538
92,-113.88499574447741,,,,255.0825975894517
93,-115.12217641640564,,,,257.7016909200784
94,-116.35934389732142,,,,260.3165881361116
95,-117.5964982384956,,,,262.92724829920144
96,-118.83363949090875,,,,265.53362966431206
97,-120.07076770525288,,,,268.13568965564
98,-121.3078829319345,,,,270.7333848415655
99,-122.54498522107508,,,,273.326670908586
100,-123.78207462251436,,,,275.9155026341802
101,-125.01915118581223,,,,278.49983385854773
102,-126.25621496024962,,,,281.0796174551645
103,-127.49326599483152,,,,283.65480530009216
104,-128.73030433828922,,,,286.2253482399741
105,-129.96733003908088,,,,288.7911960586476
106,-131.20434314539511,,,,291.3522974422967
107,-132.44134370515155,,,,293.90859994306396
108,-133.67833176600374,,,,296.4600499410368
109,-134.9153073753398,,,,299.00659260451494
110,-136.15227058028586,,,,301.54817184846155
111,-137.38922142770724,,,,304.08473029103305
112,-138.6261599642092,,,,306.6162092080753
113,-139.86308623614036,,,,309.14254848546517
114,-141.1000002895937,,,,311.6636865691692
115,-142.3369021704085,,,,314.17956041288085
116,-143.5737919241725,,,,316.69010542308746
117,-144.81066959622297,,,,319.1952554014074
118,-146.0475352316489,,,,321.6949424840258
119,-147.2843888752924,,,,324.18909707804426
120,-148.52123057175095,,,,326.67764779454467
121,-149.7580603653788,,,,329.1605213781534
122,-150.99487830028863,,,,331.6376426328731
123,-152.23168442035296,,,,334.10893434393205
124,-153.4684787692064,,,,336.57431719538044
125,-154.7052613902473,,,,339.0337096831397
126,-155.94203232663858,,,,341.4870280231867
127,-157.17879162131055,,,,343.93418605452894
128,-158.41553931696103,,,,346.37509513659415
129,-159.65227545605853,,,,348.8096640406283
130,-160.88900008084272,,,,351.23779883465716
131,-162.12571323332645,,,,353.65940276152696
132,-163.36241495529725,,,,356.0743761094978
133,-164.59910528831904,,,,358.48261607480964
134,-165.83578427373345,,,,360.8840166155912
135,-167.07245195266114,,,,363.27846829641743
136,-168.3091083660039,,,,365.66585812275616
137,-169.54575355444547,,,,368.04606936446777
138,-170.78238755845348,,,,370.4189813674378
139,-172.01901041828114,,,,372.78446935232876
140,-173.25562217396816,,,,375.14240419932923
141,-174.49222286534234,,,,377.49265221766336
142,-175.72881253202127,,,,379.8350748984856
143,-176.96539121341334,,,,382.1695286496365
144,-178.20195894871983,,,,384.49586451056524
145,-179.43851577693533,,,,386.813927845528
